Record,Date,LOC Time,Articulo, Estado Camara, Resultado Estampado, Resulado Control, Pieza en Chronos
153, 8/20/2024,21:51:54,2829086,1,1,1,1
155, 8/20/2024,21:54:42,2829086,1,1,1,1
157, 8/20/2024,21:57:29,2829086,1,1,1,1
159, 8/20/2024,22:05:12,2829086,1,1,1,1
161, 8/20/2024,22:08:11,2829086,1,0,1,1
163, 8/20/2024,23:13:46,2829086,1,1,1,1
165, 8/20/2024,23:16:35,2829086,1,1,1,1
167, 8/20/2024,23:19:16,2829086,1,1,1,1
169, 8/20/2024,23:21:23,2829086,1,0,0,1
171, 8/20/2024,23:24:17,2829086,1,0,0,1
173, 8/20/2024,23:34:56,2829086,1,1,1,1
175, 8/20/2024,23:39:15,2829086,1,1,1,1
177, 8/20/2024,23:43:29,2829086,1,1,1,1
179, 8/20/2024,23:46:44,2829086,1,1,0,1
181, 8/20/2024,23:52:53,2829086,1,0,0,1
183, 8/20/2024,23:55:09,2829086,1,1,1,1
185, 8/20/2024,23:58:09,2829086,1,1,1,1
187, 8/21/2024, 0:00:11,2829086,1,1,1,1
189, 8/21/2024, 0:02:25,2829086,1,1,1,1
191, 8/21/2024, 0:05:20,2829086,1,1,0,1
193, 8/21/2024, 0:07:57,2829086,1,1,1,1
195, 8/21/2024, 0:16:19,2829086,1,1,1,1
197, 8/21/2024, 0:19:17,2829086,1,1,1,1
199, 8/21/2024, 0:29:24,2829086,1,1,1,1
201, 8/21/2024, 0:31:22,2829086,1,1,1,1
203, 8/21/2024, 0:51:46,2829086,1,0,1,1
205, 8/21/2024, 0:54:28,2829086,1,1,1,1
207, 8/21/2024, 0:56:42,2829086,1,1,1,1
209, 8/21/2024, 0:59:42,2829086,1,1,0,1
211, 8/21/2024, 1:01:59,2829086,1,1,1,1
213, 8/21/2024, 1:04:12,2829086,1,1,0,1
215, 8/21/2024, 1:34:54,2829086,1,1,0,1
217, 8/21/2024, 1:39:56,2829086,1,1,1,1
219, 8/21/2024, 1:44:37,2829086,1,1,1,1
221, 8/21/2024, 1:47:55,2829086,1,1,1,1
223, 8/21/2024, 1:52:16,2829086,1,1,1,1
225, 8/21/2024, 1:55:48,2829086,1,0,1,1
227, 8/21/2024, 1:58:47,2829086,1,0,1,1
229, 8/21/2024, 2:02:39,2829086,1,0,0,1
231, 8/21/2024, 2:05:47,2829086,1,1,1,1
233, 8/21/2024, 2:22:45,2829086,1,1,1,1
235, 8/21/2024, 2:26:13,2829086,1,1,1,1
237, 8/21/2024, 2:30:04,2829086,1,0,1,1
239, 8/21/2024, 2:34:16,2829086,1,1,1,1
241, 8/21/2024, 2:39:24,2829086,1,1,1,1
243, 8/21/2024, 2:45:45,2829086,1,1,1,1
245, 8/21/2024, 2:49:33,2829086,1,1,1,1
247, 8/21/2024, 4:15:09,2829086,1,1,0,1
249, 8/21/2024, 4:17:56,2829086,1,0,0,1
251, 8/21/2024, 4:37:47,2829086,1,1,1,1
253, 8/21/2024, 4:39:49,2829086,1,1,1,1
255, 8/21/2024, 4:41:52,2829086,1,0,1,1
257, 8/21/2024, 4:44:09,2829086,1,1,1,1
259, 8/21/2024, 4:46:26,2829086,1,1,1,1
261, 8/21/2024, 4:48:32,2829086,1,0,1,1
263, 8/21/2024, 4:57:06,2829086,1,1,1,1
265, 8/21/2024, 4:59:35,2829086,1,1,1,1
267, 8/21/2024, 5:02:30,2829086,1,1,1,1
269, 8/21/2024, 5:13:18,2829086,1,1,1,1
271, 8/21/2024, 5:15:16,2829086,1,1,1,1
273, 8/21/2024, 5:17:24,2829086,1,1,0,1
275, 8/21/2024, 5:19:28,2829086,1,1,1,1
277, 8/21/2024, 5:21:58,2829086,1,1,1,1
279, 8/21/2024, 5:24:09,2829086,1,1,0,1
281, 8/21/2024, 5:35:10,2829086,1,1,1,1
283, 8/21/2024, 5:38:41,2829086,1,0,1,1
285, 8/21/2024, 5:41:31,2829086,1,1,1,1
287, 8/21/2024, 7:52:29,2829086,1,1,1,1
289, 8/21/2024, 7:54:51,2829086,1,1,1,1
291, 8/21/2024, 7:57:40,2829086,1,0,1,1
293, 8/21/2024, 7:59:33,2829086,1,1,1,1
295, 8/21/2024, 8:03:49,2829086,1,1,1,1
297, 8/21/2024, 8:05:50,2829086,1,1,1,1
299, 8/21/2024, 8:13:03,2829086,1,1,1,1
301, 8/21/2024, 8:16:34,2829086,1,1,1,1
303, 8/21/2024, 8:18:24,2829086,1,1,1,1
305, 8/21/2024, 8:22:48,2829086,1,0,0,1
307, 8/21/2024, 8:24:51,2829086,1,1,1,1
309, 8/21/2024, 8:26:57,2829086,1,1,1,1
311, 8/21/2024, 8:30:03,2829086,1,1,0,1
313, 8/21/2024, 8:31:51,2829086,1,1,1,1
315, 8/21/2024, 8:33:41,2829086,1,1,1,1
317, 8/21/2024, 8:49:32,2829086,1,1,1,1
319, 8/21/2024, 8:51:05,2829086,1,0,0,1
321, 8/21/2024, 8:53:14,2829086,1,1,1,1
323, 8/21/2024, 8:56:23,2829086,1,1,1,1
325, 8/21/2024, 9:02:06,2829086,1,0,1,1
327, 8/21/2024, 9:04:14,2829086,1,1,1,1
329, 8/21/2024, 9:06:15,2829086,1,1,1,1
331, 8/21/2024, 9:08:06,2829086,1,1,1,1
333, 8/21/2024, 9:12:02,2829086,1,1,1,1
335, 8/21/2024, 9:14:13,2829086,1,1,1,1
337, 8/21/2024, 9:16:44,2829086,1,1,1,1
339, 8/21/2024, 9:20:24,2829086,1,1,0,1
341, 8/21/2024, 9:26:48,2829086,1,1,1,1
343, 8/21/2024, 9:30:12,2829086,1,1,0,1
345, 8/21/2024, 9:34:22,2829086,1,1,1,1
347, 8/21/2024, 9:36:27,2829086,1,1,1,1
349, 8/21/2024, 9:38:31,2829086,1,1,1,1
351, 8/21/2024, 9:40:26,2829086,1,1,1,1
353, 8/21/2024, 9:46:15,2829086,1,0,0,1
355, 8/21/2024,10:00:29,2829086,1,1,1,1
357, 8/21/2024,10:04:10,2829086,1,1,1,1
359, 8/21/2024,10:42:36,2829086,1,1,1,1
361, 8/21/2024,10:53:16,2829086,1,1,1,1
363, 8/21/2024,10:57:00,2829086,1,1,0,1
365, 8/21/2024,12:32:03,2829086,1,1,1,1
367, 8/21/2024,12:52:02,2829086,1,1,1,1
369, 8/21/2024,12:55:33,2829086,1,1,1,1
371, 8/21/2024,12:57:32,2829086,1,1,1,1
373, 8/21/2024,12:59:44,2829086,1,1,1,1
375, 8/21/2024,13:06:20,2829086,1,0,1,1
377, 8/21/2024,13:08:04,2829086,1,1,1,1
379, 8/21/2024,13:10:36,2829086,1,1,0,1
381, 8/21/2024,13:14:04,2829086,1,1,1,1
383, 8/21/2024,13:16:09,2829086,1,1,0,1
385, 8/21/2024,13:18:37,2829086,1,0,1,1
387, 8/21/2024,13:21:23,2829086,1,0,1,1
389, 8/21/2024,13:23:33,2829086,1,0,1,1
391, 8/21/2024,13:25:54,2829086,1,1,1,1
393, 8/21/2024,13:31:23,2829086,1,1,1,1
395, 8/21/2024,13:33:53,2829086,1,1,1,1
397, 8/21/2024,13:40:50,2829086,1,1,1,1
399, 8/21/2024,13:45:36,2829086,1,1,1,1
401, 8/21/2024,13:47:39,2829086,1,1,1,1
403, 8/21/2024,13:49:51,2829086,1,0,1,1
405, 8/21/2024,13:52:01,2829086,1,1,1,1
407, 8/21/2024,13:55:01,2829086,1,1,1,1
409, 8/21/2024,13:56:58,2829086,1,1,0,1
411, 8/21/2024,14:23:19,2829086,1,0,0,1
413, 8/21/2024,15:16:43,2829086,1,1,1,1
415, 8/21/2024,15:21:26,2829086,1,1,1,1
417, 8/21/2024,15:28:52,2829086,1,1,1,1
419, 8/21/2024,15:32:08,2829086,1,0,1,1
421, 8/21/2024,15:37:26,2829086,1,1,1,1
423, 8/21/2024,15:40:53,2829086,1,1,0,1
425, 8/21/2024,15:44:44,2829086,1,0,1,1
427, 8/21/2024,15:48:09,2829086,1,1,1,1
429, 8/21/2024,16:35:15,2829086,1,1,1,1
431, 8/21/2024,16:39:06,2829086,1,0,1,1
433, 8/21/2024,16:40:43,2829086,1,1,0,1
435, 8/21/2024,16:42:49,2829086,1,1,1,1
437, 8/21/2024,16:45:03,2829086,1,1,0,1
439, 8/21/2024,16:49:47,2829086,1,0,1,1
441, 8/21/2024,16:57:43,2829086,1,0,0,1
443, 8/21/2024,17:00:22,2829086,1,1,1,1
445, 8/21/2024,17:03:14,2829086,1,1,1,1
447, 8/21/2024,17:08:33,2829086,1,0,0,1
449, 8/21/2024,17:11:11,2829086,1,1,1,1
451, 8/21/2024,17:14:59,2829086,1,1,0,1
453, 8/21/2024,17:17:22,2829086,1,0,0,1
455, 8/21/2024,17:19:59,2829086,1,1,1,1
457, 8/21/2024,17:24:19,2829086,1,1,1,1
459, 8/21/2024,17:47:43,2829086,1,0,1,1
461, 8/21/2024,17:50:56,2829086,1,0,1,1
463, 8/21/2024,17:54:50,2829086,1,1,1,1
465, 8/21/2024,18:39:53,2829086,1,1,1,1
467, 8/21/2024,18:47:21,2829086,1,0,1,1
469, 8/21/2024,18:50:46,2829086,1,1,1,1
471, 8/21/2024,18:56:22,2829086,1,1,1,1
473, 8/21/2024,18:59:46,2829086,1,1,1,1
475, 8/21/2024,19:02:40,2829086,1,1,1,1
477, 8/21/2024,19:05:59,2829086,1,1,1,1
479, 8/21/2024,19:09:01,2829086,1,1,1,1
481, 8/21/2024,19:12:37,2829086,1,1,1,1
483, 8/21/2024,19:18:41,2829086,1,1,1,1
485, 8/21/2024,19:21:22,2829086,1,0,1,1
487, 8/21/2024,19:23:45,2829086,1,1,1,1
489, 8/21/2024,19:26:21,2829086,1,1,1,1
491, 8/21/2024,20:38:18,2829086,1,1,1,1
493, 8/21/2024,20:41:46,2829086,1,1,0,1
495, 8/21/2024,20:48:21,2829086,1,1,0,1
497, 8/21/2024,20:53:53,2829086,1,1,1,1
499, 8/21/2024,20:57:10,2829086,1,1,1,1
501, 8/21/2024,21:07:18,2829086,1,1,1,1
503, 8/21/2024,21:10:20,2829086,1,0,1,1
505, 8/21/2024,21:13:30,2829086,1,1,1,1
507, 8/21/2024,21:19:24,2829086,1,1,1,1
509, 8/21/2024,21:21:56,2829086,1,1,1,1
511, 8/21/2024,21:24:58,2829086,1,1,1,1
513, 8/21/2024,21:27:46,2829086,1,1,1,1
515, 8/21/2024,21:30:43,2829086,1,0,1,1
517, 8/21/2024,21:33:59,2829086,1,1,1,1
519, 8/21/2024,21:44:40,2829086,1,1,1,1
521, 8/21/2024,21:47:25,2829086,1,1,1,1
523, 8/21/2024,21:50:05,2829086,1,0,1,1
525, 8/21/2024,21:52:52,2829086,1,1,1,1
527, 8/21/2024,21:55:34,2829086,1,1,1,1
529, 8/21/2024,21:58:21,2829086,1,1,1,1
531, 8/21/2024,22:01:00,2829086,1,0,1,1
533, 8/21/2024,22:03:46,2829086,1,1,1,1
535, 8/21/2024,22:06:56,2829086,1,1,0,1
537, 8/21/2024,23:15:51,2829086,1,1,0,1
539, 8/21/2024,23:17:51,2829086,1,1,1,1
541, 8/21/2024,23:27:29,2829086,1,0,0,1
543, 8/21/2024,23:31:28,2829086,1,1,0,1
545, 8/21/2024,23:35:05,2829086,1,1,1,1
547, 8/21/2024,23:37:30,2829086,1,0,0,1
549, 8/21/2024,23:39:38,2829086,1,1,0,1
551, 8/21/2024,23:41:56,2829086,1,1,1,1
553, 8/21/2024,23:46:11,2829086,1,1,1,1
555, 8/21/2024,23:51:10,2829086,1,1,1,1
557, 8/21/2024,23:55:08,2829086,1,0,1,1
559, 8/21/2024,23:57:48,2829086,1,1,1,1
561, 8/22/2024, 0:02:39,2829086,1,1,1,1
563, 8/22/2024, 0:06:24,2829086,1,1,1,1
565, 8/22/2024, 0:13:50,2829086,1,1,1,1
567, 8/22/2024, 0:17:19,2829086,1,1,1,1
569, 8/22/2024, 0:19:28,2829086,1,1,1,1
571, 8/22/2024, 0:21:49,2829086,1,1,1,1
573, 8/22/2024, 0:25:10,2829086,1,1,1,1
575, 8/22/2024, 0:27:11,2829086,1,1,0,1
577, 8/22/2024, 0:29:39,2829086,1,0,1,1
579, 8/22/2024, 0:42:31,2829086,1,0,1,1
581, 8/22/2024, 0:52:41,2829086,1,1,1,1
583, 8/22/2024, 0:57:37,2829086,1,0,1,1
585, 8/22/2024, 1:01:47,2829086,1,1,1,1
587, 8/22/2024, 1:08:03,2829086,1,0,1,1
589, 8/22/2024, 1:10:29,2829086,1,1,0,1
591, 8/22/2024, 1:20:12,2829086,1,1,1,1
593, 8/22/2024, 1:21:20,2829086,1,0,1,1
595, 8/22/2024, 1:26:15,2829086,1,1,1,1
597, 8/22/2024, 1:38:53,2829086,1,1,0,1
599, 8/22/2024, 1:42:24,2829086,1,0,1,1
601, 8/22/2024, 1:51:19,2829086,1,1,1,1
603, 8/22/2024, 1:54:46,2829086,1,1,1,1
605, 8/22/2024, 1:58:10,2829086,1,0,1,1
607, 8/22/2024, 2:01:13,2829086,1,0,1,1
609, 8/22/2024, 2:07:15,2829086,1,1,1,1
611, 8/22/2024, 2:17:52,2829086,1,1,1,1
613, 8/22/2024, 2:20:01,2829086,1,1,1,1
615, 8/22/2024, 2:29:45,2829086,1,0,1,1
617, 8/22/2024, 2:31:35,2829086,1,1,1,1
619, 8/22/2024, 2:33:37,2829086,1,1,0,1
621, 8/22/2024, 2:36:15,2829086,1,1,1,1
623, 8/22/2024, 2:38:23,2829086,1,0,1,1
625, 8/22/2024, 2:41:24,2829086,1,1,0,1
627, 8/22/2024, 2:43:33,2829086,1,0,1,1
629, 8/22/2024, 4:16:56,2829086,1,0,1,1
631, 8/22/2024, 4:21:07,2829086,1,1,1,1
633, 8/22/2024, 4:28:02,2829086,1,1,1,1
635, 8/22/2024, 4:31:04,2829086,1,0,1,1
637, 8/22/2024, 4:33:57,2829086,1,1,1,1
639, 8/22/2024, 4:36:14,2829086,1,1,1,1
641, 8/22/2024, 4:38:25,2829086,1,0,1,1
643, 8/22/2024, 4:41:06,2829086,1,1,1,1
645, 8/22/2024, 4:46:13,2829086,1,1,1,1
647, 8/22/2024, 5:02:55,2829086,1,1,1,1
649, 8/22/2024, 5:05:04,2829086,1,1,0,1
651, 8/22/2024, 5:08:26,2829086,1,1,1,1
653, 8/22/2024, 5:11:03,2829086,1,1,0,1
655, 8/22/2024, 5:13:56,2829086,1,0,0,1
657, 8/22/2024, 5:24:09,2829086,1,1,1,1
659, 8/22/2024, 5:26:36,2829086,1,1,0,1
661, 8/22/2024, 5:29:47,2829086,1,1,1,1
663, 8/22/2024, 5:37:30,2829086,1,0,0,1
665, 8/22/2024, 7:43:32,2829086,1,0,1,1
667, 8/22/2024, 7:46:10,2829086,1,0,1,1
669, 8/22/2024, 7:48:41,2829086,1,1,1,1
671, 8/22/2024, 7:51:24,2829086,1,1,1,1
673, 8/22/2024, 7:56:58,2829086,1,0,1,1
675, 8/22/2024, 7:59:34,2829086,1,0,1,1
677, 8/22/2024, 8:02:15,2829086,1,1,1,1
679, 8/22/2024, 8:04:19,2829086,1,1,0,1
681, 8/22/2024, 8:06:55,2829086,1,1,1,1
683, 8/22/2024, 8:11:20,2829086,1,1,1,1
685, 8/22/2024, 8:14:04,2829086,1,0,1,1
687, 8/22/2024, 8:16:20,2829086,1,1,1,1
689, 8/22/2024, 8:18:51,2829086,1,1,1,1
691, 8/22/2024, 8:21:38,2829086,1,1,1,1
1, 8/23/2024,10:56:19,1948860,1,0,0,0
2, 8/23/2024,10:56:21,1948860,1,0,0,0
3, 8/23/2024,10:56:34,1948860,1,1,1,1
4, 8/23/2024,10:56:42,1948860,1,0,1,0
5, 8/23/2024,12:35:11,1948860,1,1,1,0
6, 8/23/2024,12:37:00,1948860,1,0,1,1
7, 8/23/2024,12:39:08,1948860,1,1,1,0
8, 8/23/2024,12:39:21,1948860,1,0,1,1
9, 8/23/2024,12:48:48,1948860,1,1,1,0
10, 8/23/2024,12:49:03,1948860,1,0,1,1
11, 8/23/2024,13:27:26,1948860,1,0,1,0
12, 8/23/2024,13:27:41,1948860,1,0,1,1
13, 8/23/2024,13:30:19,1948860,1,1,1,0
14, 8/23/2024,13:30:43,1948860,1,1,1,1
15, 8/23/2024,13:35:30,1948860,1,1,1,0
16, 8/23/2024,13:35:47,1948860,1,0,1,0
17, 8/23/2024,13:37:11,1948860,1,1,1,0
18, 8/23/2024,13:37:26,1948860,1,0,1,1
19, 8/23/2024,13:38:45,1948860,1,1,1,0
20, 8/23/2024,13:38:53,1948860,1,0,1,1
21, 8/23/2024,13:40:29,1948860,1,0,1,0
22, 8/23/2024,13:40:53,1948860,1,0,1,1
23, 8/23/2024,13:42:14,1948860,1,1,1,0
24, 8/23/2024,13:43:18,1948860,1,0,1,1
25, 8/23/2024,13:46:36,1948860,1,1,1,0
26, 8/23/2024,13:46:48,1948860,1,0,1,1
27, 8/23/2024,15:23:33,1948860,1,1,1,0
28, 8/23/2024,15:23:41,1948860,1,0,1,1
29, 8/23/2024,15:26:16,1948860,1,0,1,0
30, 8/23/2024,15:26:28,1948860,1,0,1,1
31, 8/23/2024,15:28:37,1948860,1,0,1,0
32, 8/23/2024,15:28:49,1948860,1,0,1,1
33, 8/23/2024,15:33:53,1948860,1,1,1,0
34, 8/23/2024,15:34:04,1948860,1,0,1,1
35, 8/23/2024,15:36:05,1948860,1,1,1,0
36, 8/23/2024,15:36:18,1948860,1,0,1,1
37, 8/23/2024,15:41:35,1948860,1,1,1,0
38, 8/23/2024,15:41:49,1948860,1,0,1,1
39, 8/23/2024,15:43:26,1948860,1,1,1,0
40, 8/23/2024,15:43:40,1948860,1,0,1,1
41, 8/23/2024,15:46:06,1948860,1,1,1,0
42, 8/23/2024,15:46:18,1948860,1,0,1,1
43, 8/23/2024,15:48:18,1948860,1,0,1,0
44, 8/23/2024,15:48:39,1948860,1,0,1,1
45, 8/23/2024,15:57:16,1948860,1,0,1,0
46, 8/23/2024,15:57:22,1948860,1,0,1,1
47, 8/23/2024,16:01:19,1948860,1,1,1,0
48, 8/23/2024,16:01:44,1948860,1,0,1,1
49, 8/23/2024,16:04:31,1948860,1,0,1,0
50, 8/23/2024,16:04:47,1948860,1,0,1,1
51, 8/23/2024,16:06:30,1948860,1,0,1,0
52, 8/23/2024,16:06:43,1948860,1,0,1,1
53, 8/23/2024,16:09:15,1948860,1,1,1,0
54, 8/23/2024,16:09:36,1948860,1,0,1,1
55, 8/23/2024,16:12:51,1948860,1,1,1,0
56, 8/23/2024,16:13:05,1948860,1,0,1,1
57, 8/23/2024,16:14:49,1948860,1,1,1,0
58, 8/23/2024,16:15:06,1948860,1,0,1,1
59, 8/23/2024,16:16:58,1948860,1,1,1,0
60, 8/23/2024,16:17:10,1948860,1,0,1,1
61, 8/23/2024,16:20:12,1948860,1,0,1,0
62, 8/23/2024,16:20:29,1948860,1,0,1,1
63, 8/23/2024,16:29:13,1948860,1,1,1,0
64, 8/23/2024,16:29:26,1948860,1,0,1,1
65, 8/23/2024,16:31:05,1948860,1,1,1,0
66, 8/23/2024,16:31:14,1948860,1,0,1,1
67, 8/23/2024,16:40:32,1948860,1,1,1,0
68, 8/23/2024,16:40:51,1948860,1,0,1,1
69, 8/23/2024,16:42:44,1948860,1,1,1,0
70, 8/23/2024,16:42:55,1948860,1,0,1,1
71, 8/23/2024,16:52:27,1948860,1,1,1,0
72, 8/23/2024,16:52:38,1948860,1,0,1,1
73, 8/23/2024,16:55:23,1948860,1,1,1,0
74, 8/23/2024,16:55:38,1948860,1,0,1,0
75, 8/23/2024,16:58:26,1948860,1,1,1,0
76, 8/23/2024,16:58:39,1948860,1,0,1,0
77, 8/23/2024,17:01:25,1948860,1,1,1,0
78, 8/23/2024,17:01:38,1948860,1,0,1,0
79, 8/23/2024,17:03:33,1948860,1,1,1,0
80, 8/23/2024,17:03:48,1948860,1,0,1,1
81, 8/23/2024,17:20:31,1948860,1,1,1,0
82, 8/23/2024,17:20:49,1948860,1,0,1,1
83, 8/23/2024,17:22:35,1948860,1,0,1,0
84, 8/23/2024,17:22:50,1948860,1,0,1,1
85, 8/23/2024,17:24:51,1948860,1,1,1,0
86, 8/23/2024,17:25:02,1948860,1,0,1,1
87, 8/23/2024,17:28:30,1948860,1,1,1,0
88, 8/23/2024,17:28:40,1948860,1,0,1,1
89, 8/23/2024,17:30:46,1948860,1,1,1,0
90, 8/23/2024,17:30:58,1948860,1,0,1,1
91, 8/23/2024,17:32:51,1948860,1,0,1,0
92, 8/23/2024,17:33:03,1948860,1,0,1,1
93, 8/23/2024,17:35:49,1948860,1,0,1,0
94, 8/23/2024,17:36:02,1948860,1,0,1,1
95, 8/23/2024,17:38:42,1948860,1,0,1,0
96, 8/23/2024,17:38:55,1948860,1,0,1,1
97, 8/23/2024,17:40:57,1948860,1,0,1,0
98, 8/23/2024,17:41:11,1948860,1,0,1,1
99, 8/23/2024,17:52:17,1948860,1,1,1,0
100, 8/23/2024,17:52:28,1948860,1,0,1,1
101, 8/23/2024,17:54:27,1948860,1,1,1,0
102, 8/23/2024,17:54:41,1948860,1,0,1,1
103, 8/23/2024,17:57:40,1948860,1,1,1,0
104, 8/23/2024,17:57:51,1948860,1,0,1,1
105, 8/23/2024,17:59:47,1948860,1,1,1,0
106, 8/23/2024,18:00:01,1948860,1,0,1,1
107, 8/23/2024,18:01:29,1948860,1,1,1,0
108, 8/23/2024,18:01:41,1948860,1,0,1,1
109, 8/23/2024,18:30:21,1948860,1,1,1,0
110, 8/23/2024,18:30:30,1948860,1,0,1,1
111, 8/23/2024,18:33:12,1948860,1,1,1,0
112, 8/23/2024,18:33:20,1948860,1,0,1,1
113, 8/23/2024,18:36:19,1948860,1,1,1,0
114, 8/23/2024,18:36:33,1948860,1,0,1,1
115, 8/23/2024,18:39:11,1948860,1,1,1,0
116, 8/23/2024,18:39:26,1948860,1,0,1,1
117, 8/23/2024,18:55:34,1948860,1,1,1,0
118, 8/23/2024,18:55:44,1948860,1,0,1,1
119, 8/23/2024,18:58:31,1948860,1,1,1,0
120, 8/23/2024,18:58:43,1948860,1,0,1,1
121, 8/23/2024,19:00:32,1948860,1,1,1,0
122, 8/23/2024,19:00:41,1948860,1,0,1,1
123, 8/23/2024,19:02:39,1948860,1,0,1,0
124, 8/23/2024,19:04:07,1948860,1,0,1,1
125, 8/23/2024,19:07:15,1948860,1,0,1,0
126, 8/23/2024,19:07:24,1948860,1,0,1,1
127, 8/23/2024,19:10:06,1948860,1,1,1,0
128, 8/23/2024,19:10:14,1948860,1,0,1,1
129, 8/23/2024,19:17:26,1948860,1,1,1,0
130, 8/23/2024,19:17:36,1948860,1,0,1,1
131, 8/23/2024,19:20:20,1948860,1,1,1,0
132, 8/23/2024,19:20:40,1948860,1,0,1,1
133, 8/23/2024,19:22:46,1948860,1,1,1,0
134, 8/23/2024,19:22:54,1948860,1,1,1,1
135, 8/23/2024,20:29:13,1948860,1,1,1,0
136, 8/23/2024,20:29:23,1948860,1,0,1,1
137, 8/23/2024,20:31:32,1948860,1,1,1,0
138, 8/23/2024,20:31:45,1948860,1,0,1,1
139, 8/23/2024,20:33:36,1948860,1,1,1,0
140, 8/23/2024,20:34:00,1948860,1,0,1,1
141, 8/23/2024,20:35:54,1948860,1,1,1,0
142, 8/23/2024,20:36:04,1948860,1,0,1,1
143, 8/23/2024,20:37:58,1948860,1,1,1,0
144, 8/23/2024,20:38:07,1948860,1,0,1,1
145, 8/23/2024,21:19:11,1948860,1,1,1,0
146, 8/23/2024,21:19:40,1948860,1,0,1,1
147, 8/23/2024,21:21:26,1948860,1,1,1,0
148, 8/23/2024,21:21:38,1948860,1,0,1,1
